,category_level_1,total_price_in_basket,number_of_unique_basket
0,Accessories,315.5369118381949,136
1,Adhesives & Tape,243.07156265125357,352
2,Air Fryers,605.2256343222414,2483
3,Air Purifiers,908.02,1
4,Aluminium Foil,465.0098784194529,1316
5,Aprons,279.7248229808723,226
6,Aprons & Kitchen Gloves,533.8534,1118
7,Arm Chair,1549.7375273606967,2387
8,Arts & Crafts,1021.3333333333334,3
9,BBQ & Grills,298.5421265766323,3903
10,Bakeware Sets,232.81637299675964,874
11,Bakewares & Decorations,328.5451421800948,3376
12,Bar & Wine Tools,110.23721161037574,2722
13,Bar Stools,2083.615586276575,2842
14,Bar Tables & Sets,1581.1733417399803,398
15,Basic Mousepads,156.8903290786373,4072
16,"Basins, Buckets & Water Dippers",457.90345313601125,1419
17,Bath Brushes & Loofahs,240.66666666666666,3
18,Bath Mats,377.88960590326906,3451
19,Bath Towels,403.75392670157066,384
20,Bathing Tubs & Seats,605.4573426589433,143
21,Bathroom Faucet,3660.977774412367,9
22,Bathroom Racks & Cabinets,346.76438703806684,19905
23,Bathroom Scales,221.90227454163644,3482
24,Bathroom Shelving,353.8781847408902,11130
25,Bathtubs,1205.4349553128104,1007
26,Bed Frames & Headboards,2390.950423216445,827
27,Bed Sheets,294.4235140752689,2305
28,Bedding Accessories,583.9626739204323,546
29,Bedding Sets,707.7291405677795,128
30,Beds,4775.452760314941,29
31,"Bedsheets, Pillowcases & Bolster Cases",499.23678219300865,3353
32,Bedside Tables,675.2811697824643,2541
33,"Benches, Chairs & Stools",1267.4791698382028,103818
34,Bin Liners,300.93987351702407,1654
35,Blankets & Throws,300.85696153304104,1119
36,"Blankets, Comforters & Quilts",530.800702764977,869
37,Bleach & Disinfectants,250.92192548473432,322
38,Bookcases & Shelving,918.5515555796215,27377
39,Bowls,374.07621923232404,365
40,"Bread, Cake & Cookie Accessories",245.41792114889807,2434
41,Briefcases,1083.0592317958644,143
42,Brooms,228.4026518789054,18163
43,"Brooms, Brushes & Dusters",352.82542017544023,476
