,year,month,Central_Province,central_order_status,order_total,order_status_count,proportion,year-month
0,2020,01,Amnat Charoen,Cancelled,80,9,11.25,2020-01
1,2020,01,Amnat Charoen,Completed,80,71,88.75,2020-01
2,2020,01,Ang Thong,Cancelled,94,10,10.638297872340425,2020-01
3,2020,01,Ang Thong,Completed,94,83,88.29787234042553,2020-01
4,2020,01,Ang Thong,Failed,94,1,1.0638297872340425,2020-01
5,2020,01,Bangkok,Cancelled,12003,1621,13.504957094059819,2020-01
6,2020,01,Bangkok,Completed,12003,10176,84.77880529867534,2020-01
7,2020,01,Bangkok,Failed,12003,51,0.42489377655586097,2020-01
8,2020,01,Bangkok,Returned,12003,155,1.2913438307089895,2020-01
9,2020,01,Bueng Kan,Cancelled,89,10,11.235955056179774,2020-01
10,2020,01,Bueng Kan,Completed,89,78,87.64044943820225,2020-01
11,2020,01,Bueng Kan,Failed,89,1,1.1235955056179776,2020-01
12,2020,01,Buri Ram,Cancelled,323,43,13.312693498452013,2020-01
13,2020,01,Buri Ram,Completed,323,277,85.75851393188854,2020-01
14,2020,01,Buri Ram,Failed,323,2,0.6191950464396285,2020-01
15,2020,01,Buri Ram,Returned,323,1,0.30959752321981426,2020-01
16,2020,01,Chachoengsao,Cancelled,503,61,12.127236580516898,2020-01
17,2020,01,Chachoengsao,Completed,503,437,86.87872763419483,2020-01
18,2020,01,Chachoengsao,Failed,503,2,0.3976143141153081,2020-01
19,2020,01,Chachoengsao,Returned,503,3,0.5964214711729622,2020-01
20,2020,01,Chai Nat,Cancelled,98,15,15.306122448979592,2020-01
21,2020,01,Chai Nat,Completed,98,82,83.6734693877551,2020-01
22,2020,01,Chai Nat,Failed,98,1,1.0204081632653061,2020-01
23,2020,01,Chaiyaphum,Cancelled,271,46,16.974169741697416,2020-01
24,2020,01,Chaiyaphum,Completed,271,222,81.91881918819189,2020-01
25,2020,01,Chaiyaphum,Failed,271,2,0.7380073800738007,2020-01
26,2020,01,Chaiyaphum,Returned,271,1,0.36900369003690037,2020-01
27,2020,01,Chanthaburi,Cancelled,287,40,13.937282229965156,2020-01
